"state_postal_abbr","data_year","officer","officer_rate_per_1000","civilian_count","civilian__rate_per_1000","population"
"AK",1960,,,,,70828
"AK",1961,,,,,222930
"AK",1963,,,,,83943
"AK",1964,,,,,232007
"AK",1965,,,,,81331
"AK",1966,,,,,93707
"AK",1967,,,,,86532
"AK",1968,,,,,92689
"AK",1969,,,,,89705
"AK",1970,,,,,85054
"AK",1971,230,2.25999803478431758000,83,0.81556450820477547000,101770
"AK",1972,457,1.41766528829479993000,165,0.51184851765567175000,322361
"AK",1973,290,2.33772933930932190000,93,0.74968561570954116000,124052
"AK",1974,341,2.34456109953727577000,118,0.81131439808034763000,145443
"AK",1975,357,2.01271903118868818000,127,0.71600929120718039000,177372
"AK",1976,338,1.58939151697545378000,125,0.58779272077494592000,212660
"AK",1977,371,1.58139495232371283000,129,0.54986509123924246000,234603
"AK",1978,453,1.76074129929492611000,185,0.71906653503214422000,257278
"AK",1979,434,1.81148834219599135000,165,0.68869948493626399000,239582
"AK",1980,534,1.96013654883823367000,208,0.76349888044635319000,272430
"AK",1981,543,1.94144904321958754000,242,0.86524984983267069000,279688
"AK",1982,582,1.92420866092269442000,233,0.77034470445874192000,302462
"AK",1983,1031,2.15240083507306889000,704,1.46972860125260960000,479000
"AK",1984,897,1.81183937044136569000,481,0.97156603922218160000,495077
"AK",1985,973,1.89319132128410128000,471,0.91643690886414358000,513947
"AK",1986,963,1.83074975190774390000,715,1.35927941081416084000,526014
"AK",1987,888,1.72072347896183017000,501,0.97081358441427580000,516062
"AK",1988,910,1.78061284389308496000,573,1.12119907642938207000,511060
"AK",1989,864,1.66734209459850634000,507,0.97840560412204018000,518190
"AK",1990,930,1.70337469664361921000,504,0.92311919043912267000,545975
"AK",1991,963,1.71250842472342900000,594,1.05631360777333004000,562333
"AK",1992,873,1.53754028778245478000,502,0.88412969583825006000,567790
"AK",1993,1043,1.74123539232053422000,610,1.01836393989983306000,599000
"AK",1994,1025,1.69957485756733633000,562,0.93186445849057855000,603092
"AK",1995,1095,1.81291390728476821000,632,1.04635761589403974000,604000
"AK",1996,1110,1.83308066545782428000,648,1.07012276686186499000,605538
"AK",1997,814,1.95468680586406042000,439,1.05418612748688271000,416435
"AK",1998,1056,1.74467592975035934000,642,1.06068366183686619000,605270
"AK",1999,1130,1.82579050265789856000,683,1.10355302063304842000,618910
"AK",2000,1116,1.78806037107059314000,670,1.07347710449578620000,624140
"AK",2001,1165,1.83526127661719600000,656,1.03341750855011208000,634787
"AK",2002,1161,1.80572512850821597000,696,1.08250188582404678000,642955
"AK",2003,1135,1.75148915156939601000,677,1.04472084194932255000,648020
"AK",2004,1213,1.85067931984102161000,683,1.04205603911905834000,655435
"AK",2005,1174,1.77332549887996520000,664,1.00297115098492069000,662033
"AK",2006,1220,1.82258209089007739000,717,1.07114045833457827000,669380
"AK",2007,1204,1.76752106638480284000,684,1.00413987492292786000,681180
"AK",2008,1260,1.83595053424703443000,703,1.02434382982195651000,686293
"AK",2009,1262,1.81250745038224949000,715,1.02689605944794642000,696273
"AK",2010,1219,1.71769009432499993000,725,1.02159583132536911000,709674
"AK",2011,1285,1.77940624606211166000,705,0.97625011943485504000,722151
"AK",2012,1280,1.75638886449459910000,683,0.93719812066391499000,728768
"AK",2013,1312,1.79006812355290320000,625,0.85273824483274733000,732933
"AK",2014,1258,1.71770864766627843000,680,0.92849116090069104000,732371
"AK",2016,1219,1.64309187026718103000,719,0.96914114415266871000,741894
"AK",2017,1247,1.68624030614659608000,686,0.92763500402290691000,739515
"AK",2018,1286,1.74387541732321904000,699,0.94787629604115871000,737438
"AK",2019,1271,1.73741875072620276000,708,0.96781469355952129000,731545
"AK",2020,1290,1.76615553121577218000,712,0.97480832420591457000,730400
"AL",1960,,,,,1444996
"AL",1961,,,,,1719525
"AL",1962,,,,,1284497
"AL",1963,,,,,1536625
"AL",1964,,,,,1399739
"AL",1965,,,,,1802686
"AL",1966,,,,,1762382
"AL",1967,,,,,1669337
"AL",1968,,,,,1395036
"AL",1969,,,,,1501416
"AL",1970,,,,,1574469
"AL",1971,2468,1.42433535825958685000,326,0.18814154246054510000,1732738
"AL",1972,4526,1.44947772684998962000,1019,0.32634065480780809000,3122504
"AL",1973,4102,1.41009347799109462000,736,0.25300555821585705000,2909027
"AL",1974,4611,1.42305635222913090000,870,0.26850119853379828000,3240209
"AL",1975,4811,1.48594927016756850000,988,0.30515856972054826000,3237661
"AL",1976,5467,1.59865580738697705000,1149,0.33598966941423754000,3419748
"AL",1977,4820,1.61074561147011282000,1271,0.42474225563869572000,2992403
"AL",1978,5551,1.68435783516172081000,1515,0.45970133674473194000,3295618
"AL",1979,5758,1.66674530493362979000,1649,0.47732945603257303000,3454637
"AL",1980,6059,1.59478382769701792000,1792,0.47167067490230337000,3799261
"AL",1981,5959,1.53895938040808379000,1837,0.47441993317832689000,3872097
"AL",1982,5913,1.51381790867323192000,1883,0.48207663149529777000,3906018
"AL",1983,6779,1.71363511579360341000,2531,0.63980092610615286000,3955918
"AL",1984,6775,1.70468470000820262000,2711,0.68212549398114204000,3974342
"AL",1985,6799,1.69134738618543078000,2920,0.72639128808081451000,4019872
"AL",1986,7203,1.77720207253886010000,2998,0.73969898840365162000,4053000
"AL",1987,7141,1.75202030685012707000,3009,0.73824801894861117000,4075866
"AL",1988,7334,1.78531088849767087000,3134,0.76290759811176718000,4107968
